Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Federico Ceccherini,Verona,Serie A,2022,30,Defender,CB,3,171,0,,0.014,0.008,0.014,0.008,,,,,0,,0.039,0.02,0.031,0.017,0.026,0.014,0.155,0.082,0.104,0.055,0.051,0.027
Michele Di Gregorio,Monza,Serie A,2022,25,Goalkeeper,GK,6,540,0,,,,,,,13.896,,0.064,0,,0.036,0.006,0.034,0.006,0.024,0.004,0.234,0.039,0.206,0.034,0.028,0.005
Guglielmo Vicario,Empoli,Serie A,2022,25,Goalkeeper,GK,6,540,0,,,,,,,7.468,,0.063,0,,0.039,0.007,0.035,0.006,0.023,0.004,0.179,0.03,0.163,0.027,0.016,0.003
Enzo Ebosse,Udinese,Serie A,2022,23,Defender,FB,4,150,0,,0.037,0.022,0.037,0.022,,,,,0,,0.015,0.009,0.015,0.009,0.021,0.012,0.064,0.038,0.054,0.032,0.01,0.006
Valentin Antov,Monza,Serie A,2022,21,Defender,CB,2,52,0,,,,,,,,,,0,,0.029,0.05,0.029,0.05,0.02,0.034,0.091,0.158,0.093,0.162,-0.002,-0.004
Matías Vecino,Lazio,Serie A,2022,31,Midfielder,CM,5,188,0,,0.149,0.071,0.149,0.071,,,,,0,,0.024,0.012,0.024,0.012,0.019,0.009,0.013,0.006,0.006,0.003,0.007,0.003
Marcos Antônio,Lazio,Serie A,2022,22,Midfielder,CM,4,117,0,,,,,,,,,,0,,0.034,0.026,0.034,0.026,0.019,0.015,0.037,0.028,0.041,0.032,-0.004,-0.003
Koffi Djidji,Torino,Serie A,2022,29,Defender,CB,6,470,0,,0.013,0.002,0.013,0.002,,,,,0,,0.042,0.008,0.042,0.008,0.017,0.003,0.164,0.031,0.152,0.029,0.012,0.002
Juan Musso,Atalanta,Serie A,2022,28,Goalkeeper,GK,6,540,0,,,,,,,3.811,,0.213,0,,0.034,0.006,0.022,0.004,0.016,0.003,0.176,0.029,0.169,0.028,0.007,0.001
Lukasz Skorupski,Bologna,Serie A,2022,31,Goalkeeper,GK,6,540,0,,,,,,,6.782,,-0.032,0,,0.079,0.013,0.024,0.004,0.016,0.003,0.133,0.022,0.128,0.021,0.005,0.001
Junior Sambia,Salernitana,Serie A,2022,26,Midfielder,FB,3,41,0,,,,,,,,,,0,,0.019,0.042,0.019,0.042,0.016,0.036,0.057,0.125,0.007,0.016,0.05,0.109
