Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Nathan Tjoe-A-On,Excelsior Rotterdam,Eredivise,2022,20,Defender,CB,5,440,0,,,,,,,,,,1,0.205,0.266,0.054,0.264,0.054,0.252,0.052,0.219,0.045,0.181,0.037,0.038,0.008
Carlens Arcus,Vitesse,Eredivise,2022,26,Defender,FB,5,447,0,,0.07,0.014,0.07,0.014,,,,,1,0.201,0.249,0.05,0.246,0.049,0.252,0.051,0.411,0.083,0.314,0.063,0.097,0.019
Anas Tahiri,sc Heerenveen,Eredivise,2022,27,Midfielder,WAM,5,439,0,,0.07,0.014,0.07,0.014,,,,,1,0.205,0.271,0.056,0.27,0.055,0.252,0.052,0.178,0.036,0.15,0.031,0.028,0.006
Lequincio Zeefuik,FC Volendam,Eredivise,2022,17,Forward,FW,3,29,1,3.103,1.001,3.106,1.001,3.106,1.494,,0.613,,0,,0.005,0.016,0.005,0.016,0.249,0.774,0.039,0.121,0.005,0.016,0.034,0.106
Souffian El Karouani,N.E.C.,Eredivise,2022,21,Defender,FB,5,450,0,,0.098,0.02,0.098,0.02,0.024,,-0.009,,0,,0.319,0.064,0.306,0.061,0.249,0.05,-0.116,-0.023,-0.035,-0.007,-0.081,-0.016
Doke Schmidt,SC Cambuur,Eredivise,2022,30,Defender,FB,4,237,0,,0.01,0.004,0.01,0.004,,,,,0,,0.251,0.095,0.242,0.092,0.244,0.093,0.17,0.064,0.143,0.054,0.027,0.01
Benaissa Benamar,FC Volendam,Eredivise,2022,25,Defender,CB,5,439,1,0.205,0.133,0.027,0.133,0.027,0.101,,0.005,,1,0.205,0.244,0.05,0.238,0.049,0.243,0.05,0.604,0.124,0.399,0.082,0.204,0.042
Koki Saito,Sparta Rotterdam,Eredivise,2022,21,Midfielder,CM,1,24,0,,,,,,,,,,2,7.5,0.25,0.936,0.25,0.936,0.242,0.906,0.215,0.806,0.127,0.476,0.088,0.329
Philipp Max,PSV,Eredivise,2022,28,Defender,FB,4,302,0,,,,,,,,,,1,0.298,0.348,0.104,0.31,0.092,0.24,0.072,0.277,0.083,0.195,0.058,0.082,0.024
Walid Ould-Chikh,FC Volendam,Eredivise,2022,22,Midfielder,CM,5,109,0,,0.425,0.351,0.425,0.351,0.449,,0.043,,0,,0.018,0.014,0.017,0.014,0.239,0.197,0.041,0.034,0.011,0.009,0.03,0.025
Mats Deijl,Go Ahead Eagles,Eredivise,2022,25,Defender,FB,3,212,0,,0.044,0.019,0.044,0.019,,,,,1,0.425,0.219,0.093,0.214,0.091,0.239,0.101,0.218,0.093,0.162,0.069,0.056,0.024
Tomás Suslov,FC Groningen,Eredivise,2022,20,Midfielder,CAM,5,303,0,,0.111,0.033,0.111,0.033,0.046,,0.024,,0,,0.539,0.16,0.232,0.069,0.232,0.069,-0.079,-0.024,-0.028,-0.008,-0.051,-0.015
