Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Diadié Samassékou,TSG Hoffenheim,Bundesliga,2022,26,Midfielder,DMC,2,34,0,,,,,,,,,,0,,0.007,0.018,0.007,0.018,0.006,0.015,0.001,0.001,0.006,0.015,-0.005,-0.014
Kevin-Prince Boateng,Hertha BSC,Bundesliga,2022,35,Midfielder,FW,3,79,0,,,,,,,,,,0,,0.029,0.033,0.029,0.033,0.006,0.006,-0.051,-0.058,-0.011,-0.013,-0.039,-0.045
Karim Bellarabi,Bayer 04 Leverkusen,Bundesliga,2022,32,Forward,WAM,1,45,0,,,,,,,,,,0,,0.01,0.021,0.01,0.021,0.006,0.011,0.024,0.048,0.018,0.036,0.006,0.012
Lukás Hrádecky,Bayer 04 Leverkusen,Bundesliga,2022,32,Goalkeeper,GK,4,359,0,,,,,,,6.715,,-0.042,0,,0.014,0.004,0.01,0.002,0.005,0.001,0.076,0.019,0.072,0.018,0.004,0.001
Gregor Kobel,Borussia Dortmund,Bundesliga,2022,24,Goalkeeper,GK,5,450,0,,,,,,,5.061,,0.21,0,,0.02,0.004,0.014,0.003,0.005,0.001,0.107,0.021,0.101,0.02,0.005,0.001
Yannik Keitel,Sport-Club Freiburg,Bundesliga,2022,22,Midfielder,DMC,3,137,0,,,,,,,,,,0,,0.016,0.011,0.016,0.011,0.005,0.003,-0.008,-0.006,-0.004,-0.003,-0.004,-0.003
Niklas Stark,SV Werder Bremen,Bundesliga,2022,27,Defender,DMC,2,58,0,,,,,,,,,,0,,0.009,0.014,0.009,0.014,0.005,0.008,0.057,0.089,0.053,0.083,0.004,0.006
Josip Stanisic,FC Bayern München,Bundesliga,2022,22,Defender,CB,1,28,0,,,,,,,,,,0,,0.007,0.022,0.007,0.022,0.005,0.015,0.016,0.053,0.009,0.03,0.007,0.023
Éric Ebimbe,Eintracht Frankfurt,Bundesliga,2022,21,Midfielder,CM,1,58,0,,,,,,,,,,0,,0.007,0.012,0.007,0.012,0.005,0.007,0.009,0.013,0.006,0.009,0.003,0.004
Atakan Karazor,VfB Stuttgart,Bundesliga,2022,25,Defender,DMC,4,47,0,,,,,,,,,,0,,0.008,0.015,0.008,0.015,0.004,0.008,0.007,0.013,0.008,0.015,-0.001,-0.002
Niklas Süle,Borussia Dortmund,Bundesliga,2022,27,Defender,CB,3,39,0,,,,,,,,,,0,,0.01,0.023,0.007,0.016,0.004,0.009,0.009,0.02,0.01,0.022,-0.001,-0.002
Andrey Lunev,Bayer 04 Leverkusen,Bundesliga,2022,30,Goalkeeper,GK,1,90,0,,,,,,,1.19,,-0.68,0,,0.006,0.006,0.006,0.006,0.004,0.004,0.058,0.058,0.053,0.053,0.005,0.005
Kingsley Schindler,1. FC Köln,Bundesliga,2022,29,Midfielder,WAM,4,215,0,,,,,,,,,,0,,0.099,0.042,0.097,0.041,0.004,0.002,0.054,0.022,0.147,0.062,-0.093,-0.039
Mërgim Berisha,FC Augsburg,Bundesliga,2022,24,Forward,FW,1,74,0,,0.068,0.083,0.068,0.083,,,,,0,,0.009,0.011,0.009,0.011,0.003,0.004,0.004,0.005,0.006,0.007,-0.002,-0.002
Nadiem Amiri,Bayer 04 Leverkusen,Bundesliga,2022,25,Midfielder,CAM,4,45,0,,,,,,,,,,0,,0.045,0.09,0.045,0.09,0.003,0.007,0.124,0.249,0.081,0.162,0.043,0.087
Lars Stindl,Borussia Mönchengladbach,Bundesliga,2022,34,Midfielder,FW,1,38,0,,,,,,,,,,0,,0.077,0.183,0.077,0.183,0.003,0.008,-0.018,-0.044,-0.08,-0.19,0.062,0.146
Mathias Olesen,1. FC Köln,Bundesliga,2022,21,Midfielder,CM,3,97,0,,,,,,,,,,0,,0.008,0.008,0.008,0.008,0.003,0.003,0.012,0.011,0.008,0.007,0.005,0.004
Janis Blaswich,RB Leipzig,Bundesliga,2022,31,Goalkeeper,GK,2,180,0,,,,,,,1.392,,-0.437,0,,0.005,0.003,0.005,0.003,0.003,0.001,0.015,0.007,0.017,0.008,-0.002,-0.001
Anthony Caci,1. FSV Mainz 05,Bundesliga,2022,25,Defender,DMC,2,18,0,,,,,,,,,,0,,0.006,0.028,0.005,0.024,0.002,0.01,0.017,0.086,-0.004,-0.019,0.021,0.105
Mats Hummels,Borussia Dortmund,Bundesliga,2022,33,Defender,CB,5,422,0,,0.154,0.033,0.154,0.033,,,,,0,,0.058,0.012,0.056,0.012,0.002,0,-0.036,-0.008,0.109,0.023,-0.145,-0.031
Felix Agu,SV Werder Bremen,Bundesliga,2022,22,Defender,FB,1,15,0,,,,,,,,,,0,,0.003,0.019,0.002,0.014,0.002,0.01,0.01,0.061,0.01,0.061,,
Jacek Góralski,VfL Bochum 1848,Bundesliga,2022,29,Midfielder,CM,2,97,0,,,,,,,,,,0,,0.009,0.008,0.008,0.008,0.002,0.001,0.012,0.011,0.002,0.002,0.009,0.009
Hannes Wolf,Borussia Mönchengladbach,Bundesliga,2022,23,Midfielder,CAM,2,39,0,,,,,,,,,,0,,0.002,0.004,0.002,0.004,0.001,0.003,-0.004,-0.01,-0.007,-0.017,0.003,0.007
Manuel Gulde,Sport-Club Freiburg,Bundesliga,2022,31,Defender,CB,3,78,0,,,,,,,,,,0,,0.004,0.004,0.004,0.004,0.001,0.001,0.029,0.034,0.016,0.018,0.013,0.015
Kristian Pedersen,1. FC Köln,Bundesliga,2022,28,Defender,FB,1,14,0,,,,,,,,,,0,,0.002,0.015,0.002,0.015,0.001,0.005,0.027,0.174,0.021,0.133,0.006,0.042
Marcin Kaminski,FC Schalke 04,Bundesliga,2022,30,Defender,CB,1,90,0,,,,,,,,,,0,,0.001,0.001,0.001,0.001,0.001,0.001,0.013,0.013,0.013,0.013,,
Lucas Alario,Eintracht Frankfurt,Bundesliga,2022,29,Forward,FW,3,91,0,,0.068,0.067,0.068,0.067,,,,,0,,0.088,0.087,0.088,0.087,0.001,0.001,-0.071,-0.071,-0.069,-0.068,-0.002,-0.002
Derry Scherhant,Hertha BSC,Bundesliga,2022,19,Forward,FW,1,32,0,,,,,,,,,,0,,0.003,0.007,0.003,0.007,0.001,0.001,-0.007,-0.02,-0.007,-0.02,,
Xaver Schlager,RB Leipzig,Bundesliga,2022,24,Midfielder,CM,1,8,0,,,,,,,,,,0,,0,0.005,0,0.005,0,0.003,-0.012,-0.131,-0.01,-0.117,-0.001,-0.015
Stefan Posch,TSG Hoffenheim,Bundesliga,2022,,,,1,19,0,,,,,,,,,,0,,0.001,0.004,0.001,0.003,0,0.001,0.003,0.015,0.002,0.01,0.001,0.004
Makoto Hasebe,Eintracht Frankfurt,Bundesliga,2022,38,Defender,DMC,2,26,0,,,,,,,,,,0,,0.002,0.007,0.001,0.003,0,0.001,0.011,0.04,0.006,0.019,0.006,0.02
Timothy Chandler,Eintracht Frankfurt,Bundesliga,2022,32,Midfielder,FB,2,17,0,,,,,,,,,,0,,0.003,0.015,0.001,0.004,0,0.001,0.013,0.07,0.013,0.071,0,-0.002
Keven Schlotterbeck,Sport-Club Freiburg,Bundesliga,2022,25,Defender,CB,1,10,0,,,,,,,,,,0,,0,0.002,0,0.002,0,0.001,0.001,0.008,0.001,0.008,,
Aster Vranckx,VfL Wolfsburg,Bundesliga,2022,,,,1,7,0,,,,,,,,,,0,,0,0.001,0,0.001,0,0.001,0,0.006,0,0.006,,
Hugo Siquet,Sport-Club Freiburg,Bundesliga,2022,20,Defender,CB,2,15,0,,,,,,,,,,0,,0.001,0.003,0,0.002,0,0,0.003,0.021,0.006,0.033,-0.002,-0.012
Kerim Çalhanoglu,FC Schalke 04,Bundesliga,2022,20,Midfielder,WAM,2,4,0,,,,,,,,,,0,,0,0.008,0,0.008,0,-0.002,-0.006,-0.128,-0.006,-0.128,,
Luca Netz,Borussia Mönchengladbach,Bundesliga,2022,19,Defender,FB,1,90,0,,,,,,,,,,0,,0.003,0.003,0.001,0.001,0,0,0.003,0.003,0.005,0.005,-0.002,-0.002
Darko Churlinov,VfB Stuttgart,Bundesliga,2022,,,,1,26,0,,,,,,,,,,0,,,,,,0,0,,,,,,
Gabriel Vidovic,FC Bayern München,Bundesliga,2022,,,,1,18,0,,,,,,,,,,1,5,0.05,0.251,0.05,0.251,-0.001,-0.004,-0.016,-0.079,-0.016,-0.08,0,0.001
Joel Pohjanpalo,Bayer 04 Leverkusen,Bundesliga,2022,,,,1,3,0,,,,,,,,,,0,,,,,,-0.002,-0.052,0.002,0.052,,,0.002,0.052
Robert Wagner,Sport-Club Freiburg,Bundesliga,2022,19,Midfielder,CM,1,7,0,,,,,,,,,,0,,0,0.005,0,0.005,-0.002,-0.022,0.005,0.066,0.005,0.071,0,-0.005
Kevin Paredes,VfL Wolfsburg,Bundesliga,2022,19,Midfielder,CB,2,43,0,,,,,,,,,,0,,0.048,0.101,0.048,0.1,-0.002,-0.004,-0.034,-0.072,-0.062,-0.129,0.027,0.057
Vladimír Darida,Hertha BSC,Bundesliga,2022,32,Midfielder,CM,1,10,0,,,,,,,,,,0,,0,0.001,0,0.001,-0.003,-0.029,-0.001,-0.013,-0.001,-0.013,,
Josko Gvardiol,RB Leipzig,Bundesliga,2022,20,Defender,CB,5,233,0,,0.119,0.046,0.119,0.046,0.025,,0.004,,0,,0.098,0.038,0.093,0.036,-0.003,-0.001,0.263,0.101,0.267,0.103,-0.004,-0.002
Danny Latza,FC Schalke 04,Bundesliga,2022,32,Midfielder,CM,4,92,0,,0.102,0.1,0.102,0.1,,,,,0,,0.007,0.007,0.007,0.007,-0.004,-0.003,0.028,0.027,0.017,0.017,0.011,0.011
