Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Antonio Blanco,Cádiz,La Liga,2022,22,Midfielder,CM,2,135,0,,,,,,,,,,0,,0.071,0.047,0.071,0.047,0.039,0.026,0.02,0.014,0.007,0.004,0.014,0.009
Santiago Comesaña,Rayo Vallecano,La Liga,2022,25,Midfielder,CM,2,51,0,,0.196,0.346,0.196,0.346,,,,,0,,0.008,0.015,0.008,0.014,0.038,0.067,0.067,0.117,0.04,0.071,0.027,0.047
Edu Expósito,Espanyol,La Liga,2022,26,Midfielder,CM,4,245,1,0.367,0.15,0.055,0.15,0.055,0.263,,0.202,,0,,0.076,0.028,0.049,0.018,0.037,0.014,0.091,0.033,0.057,0.021,0.033,0.012
Monchu,Real Valladolid,La Liga,2022,22,Midfielder,CM,3,157,0,,0.02,0.012,0.02,0.012,,,,,0,,0.28,0.161,0.027,0.015,0.036,0.021,0.029,0.016,0.01,0.006,0.019,0.011
Tomás Alarcón,Cádiz,La Liga,2022,23,Midfielder,CM,3,191,0,,0.028,0.013,0.028,0.013,0.074,,0.06,,0,,0.087,0.041,0.03,0.014,0.036,0.017,0.082,0.039,0.096,0.045,-0.014,-0.006
Hugo Duro,Valencia CF,La Liga,2022,22,Forward,FW,3,136,0,,0.057,0.038,0.057,0.038,0.532,,,,0,,0.003,0.002,0.003,0.002,0.035,0.023,0.002,0.001,0.001,0,0.001,0.001
Rodri,Real Betis,La Liga,2022,22,Midfielder,CAM,3,196,0,,0.034,0.015,0.034,0.015,,,,,0,,0.045,0.021,0.035,0.016,0.034,0.015,0.062,0.028,0.016,0.007,0.046,0.021
Adrián Embarba,Almería,La Liga,2022,30,Forward,WAM,1,34,0,,0.033,0.089,0.033,0.089,,,,,0,,0.03,0.079,0.001,0.002,0.033,0.088,-0.06,-0.158,-0.002,-0.006,-0.057,-0.152
Enes Ünal,Getafe,La Liga,2022,25,Forward,FW,4,337,1,0.267,0.261,0.07,0.261,0.07,0.671,,0.56,,0,,0.067,0.018,0.067,0.018,0.032,0.009,-0.032,-0.009,-0.038,-0.01,0.006,0.002
José Morales,Villarreal,La Liga,2022,35,Forward,WAM,4,127,1,0.709,1.231,0.872,1.231,0.872,1.541,,0.231,,0,,0.127,0.09,0.127,0.09,0.03,0.021,0.183,0.13,0.062,0.044,0.121,0.086
