Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Iván Marcano,FC Porto,Primeira Liga,2022,35,Defender,CB,4,341,2,0.528,0.539,0.142,0.539,0.142,1.028,,0.627,,0,,0.156,0.041,0.156,0.041,0.185,0.049,0.456,0.12,0.438,0.116,0.018,0.005
Martim Tavares,Boavista,Primeira Liga,2022,18,Forward,FW,3,55,1,1.636,0.386,0.632,0.386,0.632,0.807,,0.42,,0,,0.014,0.022,0.014,0.022,0.185,0.303,-0.013,-0.02,-0.005,-0.009,-0.007,-0.012
João Correia,Chaves,Primeira Liga,2022,25,Midfielder,WAM,4,359,0,,0.247,0.062,0.247,0.062,,,,,1,0.251,0.213,0.053,0.205,0.051,0.184,0.046,0.012,0.003,0.033,0.008,-0.02,-0.005
Zaidu Sanusi,FC Porto,Primeira Liga,2022,25,Defender,CB,4,357,0,,0.066,0.017,0.066,0.017,,,,,0,,0.364,0.092,0.189,0.048,0.182,0.046,0.285,0.072,0.184,0.046,0.1,0.025
Bruno Costa,FC Porto,Primeira Liga,2022,25,Midfielder,CM,2,117,0,,0.277,0.213,0.277,0.213,,,,,0,,0.213,0.164,0.149,0.114,0.181,0.139,0.141,0.108,0.081,0.062,0.059,0.046
Bryan Róchez,Portimonense,Primeira Liga,2022,27,Forward,FW,1,1,0,,0.316,28.478,0.316,28.478,0.48,,0.164,,0,,0.005,0.481,0.005,0.481,0.175,15.73,0.012,1.085,0.017,1.504,-0.005,-0.42
Henrique Jocú,Portimonense,Primeira Liga,2022,20,Midfielder,DMC,3,87,0,,,,,,,,,,0,,0.183,0.189,0.183,0.189,0.173,0.179,0.022,0.023,0.002,0.002,0.02,0.021
Rafael Martins,Casa Pia,Primeira Liga,2022,33,Forward,FW,5,366,1,0.246,0.564,0.139,0.564,0.139,0.883,,0.476,,1,0.246,0.099,0.024,0.099,0.024,0.171,0.042,0.134,0.033,0.084,0.021,0.05,0.012
Paulo Vitor,Rio Ave,Primeira Liga,2022,23,Midfielder,WAM,4,194,0,,0.167,0.077,0.167,0.077,0.025,,-0.022,,0,,0.053,0.025,0.053,0.024,0.169,0.079,0.115,0.053,0.05,0.023,0.065,0.03
Filipe Ferreira,Boavista,Primeira Liga,2022,31,Defender,WAM,3,217,0,,,,,,,,,,0,,0.186,0.077,0.185,0.077,0.169,0.07,0.183,0.076,0.14,0.058,0.043,0.018
Vitinho,Arouca,Primeira Liga,2022,22,Midfielder,CM,4,92,0,,0.058,0.057,0.058,0.057,0.093,,0.062,,1,0.978,0.283,0.277,0.186,0.182,0.167,0.163,0.191,0.187,0.176,0.172,0.015,0.015
Morato,Benfica,Primeira Liga,2022,21,Defender,CB,4,360,1,0.25,0.21,0.052,0.21,0.052,0.702,,0.56,,0,,0.063,0.016,0.063,0.016,0.167,0.042,0.515,0.129,0.315,0.079,0.2,0.05
