Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Marin Sverko,FC Groningen,Eredivise,2022,24,Defender,FB,2,39,0,,,,,,,,,,0,,0.008,0.019,0.008,0.018,0.006,0.014,0.037,0.085,0.027,0.061,0.01,0.024
Luciano Valente,FC Groningen,Eredivise,2022,18,Midfielder,,4,98,0,,,,,,,,,,0,,0.01,0.009,0.009,0.008,0.006,0.006,0.02,0.018,0.006,0.006,0.013,0.012
Billy van Duijl,FC Volendam,Eredivise,2022,16,Defender,CB,2,149,0,,,,,,,,,,0,,0.011,0.006,0.01,0.006,0.006,0.003,0.1,0.06,0.064,0.039,0.036,0.022
Mike te Wierik,FC Groningen,Eredivise,2022,30,Defender,CB,6,540,0,,0.093,0.015,0.093,0.015,,,,,0,,0.056,0.009,0.055,0.009,0.005,0.001,0.225,0.037,0.124,0.021,0.101,0.017
Sean Klaiber,FC Utrecht,Eredivise,2022,28,Defender,FB,2,72,0,,0.014,0.018,0.014,0.018,,,,,1,1.25,0.044,0.056,0.04,0.049,0.005,0.006,0.099,0.123,0.085,0.107,0.014,0.017
Rocco Robert Shein,FC Utrecht,Eredivise,2022,19,Midfielder,CM,2,19,0,,,,,,,,,,0,,0.008,0.037,0.008,0.037,0.004,0.02,-0.017,-0.08,-0.021,-0.098,0.004,0.018
Liam van Gelderen,FC Groningen,Eredivise,2022,21,Defender,FB,3,91,0,,,,,,,,,,0,,0.01,0.01,0.009,0.009,0.004,0.004,0.016,0.016,0.003,0.003,0.013,0.013
Syb van Ottele,sc Heerenveen,Eredivise,2022,20,Defender,CB,1,11,0,,0.093,0.76,0.093,0.76,,,,,0,,0.005,0.044,0.005,0.044,0.003,0.029,-0.006,-0.047,-0.011,-0.09,0.005,0.044
Lisandro Magallán,Ajax,Eredivise,2022,28,Defender,CB,2,20,0,,0.028,0.127,0.028,0.127,,,,,0,,0,0.002,0,0.002,0.003,0.015,0.001,0.006,0.001,0.006,,
Jeroen Houwen,Vitesse,Eredivise,2022,26,Goalkeeper,GK,2,180,0,,,,,,,5.244,,-0.526,0,,0.006,0.003,0.006,0.003,0.003,0.002,0.042,0.021,0.041,0.02,0.001,0.001
Justin Bijlow,Feyenoord,Eredivise,2022,24,Goalkeeper,GK,6,540,0,,,,,,,5.095,,0.215,0,,0.008,0.001,0.008,0.001,0.003,0,0.099,0.016,0.09,0.015,0.009,0.002
Mimeirhel Benita,Feyenoord,Eredivise,2022,18,Defender,WAM,2,50,0,,,,,,,,,,0,,0.015,0.027,0.014,0.026,0.003,0.005,0.053,0.095,0.044,0.079,0.009,0.016
Peer Koopmeiners,AZ,Eredivise,2022,22,Midfielder,CM,3,28,0,,,,,,,,,,0,,0.004,0.012,0.004,0.012,0.003,0.008,0.004,0.012,0.002,0.008,0.001,0.004
Django Warmerdam,FC Utrecht,Eredivise,2022,27,Defender,FB,3,25,0,,,,,,,,,,0,,0.004,0.014,0.003,0.012,0.002,0.008,0.014,0.05,0.012,0.042,0.002,0.008
Anass Salah-Eddine,FC Twente,Eredivise,2022,20,Defender,FB,1,20,0,,,,,,,,,,0,,0.002,0.01,0.002,0.01,0.001,0.007,0.022,0.099,0.018,0.083,0.004,0.017
