Full Name,Team,League,season,Age,Position,Role,Appearances,Time Played,Goals,Goals_p90,xG,xG_p90,npxG,npxG_p90,xGoT,xGoTA,SGA,Goals prevented per xGoT,Assists,Assists_p90,xA,xA_p90,opxA,opxA_p90,xOVA,xOVA_p90,xThreat,xThreat_p90,xThreat from passes,xThreat from passes_p90,xThreat from carries,xThreat from carries_p90
Béni Makouana,Montpellier,Ligue 1,2022,19,Forward,FW,5,101,0,,0.282,0.251,0.282,0.251,,,,,0,,0.01,0.009,0.01,0.009,0.086,0.076,-0.006,-0.005,0.021,0.019,-0.027,-0.024
Thiago Mendes,Lyon,Ligue 1,2022,30,Midfielder,DMC,7,540,0,,,,,,,,,,1,0.167,0.154,0.026,0.147,0.024,0.085,0.014,0.996,0.166,0.723,0.121,0.272,0.045
Islam Slimani,Brest,Ligue 1,2022,34,Forward,FW,4,315,0,,1.191,0.34,0.409,0.117,0.836,,0.054,,1,0.286,0.249,0.071,0.249,0.071,0.084,0.024,-0.25,-0.071,-0.036,-0.01,-0.214,-0.061
Falaye Sacko,Montpellier,Ligue 1,2022,27,Defender,FB,7,576,0,,0.144,0.022,0.144,0.022,,,,,2,0.312,0.185,0.029,0.182,0.028,0.084,0.013,-0.06,-0.009,-0.144,-0.023,0.085,0.013
Mostafa Mohamed,Nantes,Ligue 1,2022,24,Forward,FW,7,370,2,0.486,0.482,0.117,0.482,0.117,1.218,,0.924,,1,0.243,0.141,0.034,0.141,0.034,0.083,0.02,-0.095,-0.023,-0.028,-0.007,-0.066,-0.016
Bevic Moussiti-Oko,Ajaccio,Ligue 1,2022,27,Forward,FW,6,165,0,,0.453,0.247,0.453,0.247,0.039,,-0.024,,0,,0.147,0.08,0.147,0.08,0.082,0.045,0.164,0.089,0.067,0.037,0.097,0.053
Oliver Zandén,Toulouse,Ligue 1,2022,21,Defender,FB,4,136,0,,0.094,0.062,0.094,0.062,0.06,,-0.021,,0,,0.072,0.047,0.071,0.047,0.081,0.053,0.067,0.044,0.043,0.029,0.024,0.016
Issa Kaboré,Marseille,Ligue 1,2022,21,Defender,CB,2,79,0,,0.021,0.024,0.021,0.024,,,,,0,,0.074,0.085,0.074,0.085,0.079,0.091,0.119,0.136,0.049,0.056,0.07,0.08
Birger Meling,Rennes,Ligue 1,2022,27,Defender,FB,4,124,0,,,,,,,,,,0,,0.162,0.118,0.158,0.115,0.079,0.057,0.285,0.207,0.24,0.174,0.045,0.033
Nabil Bentaleb,Angers,Ligue 1,2022,27,Midfielder,CM,4,360,0,,0.024,0.006,0.024,0.006,,,,,0,,0.122,0.03,0.107,0.027,0.078,0.02,0.283,0.071,0.221,0.055,0.063,0.016
Alidu Seidu,Clermont,Ligue 1,2022,22,Defender,FB,7,608,0,,0.011,0.002,0.011,0.002,,,,,0,,0.11,0.016,0.109,0.016,0.075,0.011,0.111,0.016,0.047,0.007,0.064,0.009
Khalil Fayad,Montpellier,Ligue 1,2022,18,Midfielder,CM,3,65,0,,,,,,,,,,1,1.385,0.083,0.115,0.083,0.115,0.074,0.102,0.023,0.031,0.017,0.023,0.006,0.008
Bonke Innocent,Lorient,Ligue 1,2022,26,Midfielder,CM,6,249,0,,0.081,0.029,0.081,0.029,,,,,0,,0.014,0.005,0.014,0.005,0.073,0.026,-0.026,-0.009,-0.012,-0.005,-0.014,-0.005
Dion Lopy,Reims,Ligue 1,2022,20,Midfielder,CM,5,273,0,,0.022,0.007,0.022,0.007,,,,,0,,0.087,0.029,0.087,0.029,0.069,0.023,0.028,0.009,0.025,0.008,0.003,0.001
Joe Rodon,Rennes,Ligue 1,2022,24,Defender,CB,6,540,1,0.167,0.395,0.066,0.395,0.066,0.256,,0.239,,0,,0.094,0.016,0.094,0.016,0.067,0.011,0.539,0.09,0.27,0.045,0.27,0.045
Anthony Rouault,Toulouse,Ligue 1,2022,21,Defender,CB,7,630,0,,0.024,0.003,0.024,0.003,0.022,,-0.002,,0,,0.085,0.012,0.083,0.012,0.063,0.009,0.446,0.064,0.383,0.055,0.064,0.009
